cod_a,cod_b,sim_nombre,sim_direccion,mismo_telefono,nombre_a,nombre_b,depto,municipio,idx_a,idx_b
17-05-0232-46,17-05-0234-46,100.0,100.0,False,LICEO MIXTO MODERNO SANTA FE,LICEO MIXTO MODERNO SANTA FE,PETEN,LA LIBERTAD,192,193
17-05-0305-46,17-05-0306-46,100.0,100.0,True,ESCUELA NORMAL CON ORIENTACION AMBIENTAL,ESCUELA NORMAL CON ORIENTACION AMBIENTAL,PETEN,LA LIBERTAD,214,215
17-05-0305-46,17-05-4067-46,100.0,100.0,True,ESCUELA NORMAL CON ORIENTACION AMBIENTAL,ESCUELA NORMAL CON ORIENTACION AMBIENTAL,PETEN,LA LIBERTAD,214,247
17-05-0306-46,17-05-4067-46,100.0,100.0,True,ESCUELA NORMAL CON ORIENTACION AMBIENTAL,ESCUELA NORMAL CON ORIENTACION AMBIENTAL,PETEN,LA LIBERTAD,215,247
17-05-0320-46,17-05-0321-46,100.0,100.0,True,CENTRO EDUCATIVO GUADALUPANO,CENTRO EDUCATIVO GUADALUPANO,PETEN,LA LIBERTAD,221,222
17-13-0118-46,17-13-0120-46,100.0,100.0,True,"COLEGIO DE CIENCIAS COMERCIALES ""LAS CRUCES""","COLEGIO DE CIENCIAS COMERCIALES ""LAS CRUCES""",PETEN,LAS CRUCES,478,480
17-13-0126-46,17-13-0154-46,100.0,100.0,False,COLEGIO PRIVADO MIXTO JESUS EL DIVINO MAESTRO,COLEGIO PRIVADO MIXTO JESUS EL DIVINO MAESTRO,PETEN,LAS CRUCES,483,496
17-11-0073-46,17-11-0077-46,100.0,100.0,True,CENTRO EDUCATIVO CIENCIA Y TECNOLOGIA,CENTRO EDUCATIVO CIENCIA Y TECNOLOGIA,PETEN,MELCHOR DE MENCOS,413,414
17-03-0024-46,17-03-0026-46,100.0,100.0,False,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,PETEN,SAN BENITO,82,84
17-03-0084-46,17-03-0085-46,100.0,100.0,False,LICEO CRISTIANO BILINGUE JEHOVA JIREH,LICEO CRISTIANO BILINGUE JEHOVA JIREH,PETEN,SAN BENITO,91,92
17-03-0098-46,17-03-0099-46,100.0,100.0,True,LICEO INTEGRAL NUEVA GENERACION - LING-,LICEO INTEGRAL NUEVA GENERACION - LING-,PETEN,SAN BENITO,97,98
17-03-0120-46,17-03-0121-46,100.0,100.0,False,COLEGIO PRIVADO MIXTO EL FORMADOR,COLEGIO PRIVADO MIXTO EL FORMADOR,PETEN,SAN BENITO,108,109
17-03-2834-46,17-03-3718-46,100.0,100.0,True,LICEO PALERMO,LICEO PALERMO,PETEN,SAN BENITO,129,133
17-07-0041-46,17-07-0049-46,100.0,100.0,True,COLEGIO CRISTIANO ARBOL DE VIDA,COLEGIO CRISTIANO ARBOL DE VIDA,PETEN,SANTA ANA,265,270
17-10-0184-46,17-10-0186-46,100.0,100.0,False,INSTITUTO PRIVADO VESPERTINO PROF. JOSE OTILIO FLORES CARBAJAL,INSTITUTO PRIVADO VESPERTINO PROF. JOSE OTILIO FLORES CARBAJAL,PETEN,SAYAXCHE,356,358
17-10-0207-46,17-10-0248-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""JACOBO ARBENZ GUZMAN""","COLEGIO PRIVADO MIXTO ""JACOBO ARBENZ GUZMAN""",PETEN,SAYAXCHE,363,365
17-10-0249-46,17-10-0250-46,100.0,100.0,False,COLEGIO PRIVADO MIXTO JACOBO ARBENZ GUZMAN,COLEGIO PRIVADO MIXTO JACOBO ARBENZ GUZMAN,PETEN,SAYAXCHE,366,367
17-10-0271-46,17-10-0272-46,100.0,100.0,True,COLEGIO MIXTO PRIVADO STEVE JOVS,COLEGIO MIXTO PRIVADO STEVE JOVS,PETEN,SAYAXCHE,373,374
17-10-0346-46,17-10-0347-46,100.0,100.0,False,INSTITUTO PRIVADO MIXTO LA REINITA,INSTITUTO PRIVADO MIXTO LA REINITA,PETEN,SAYAXCHE,383,384
17-10-0353-46,17-10-0354-46,100.0,100.0,True,COLEGIO DE CIENCIAS COMERCIALES SAN ANTONIO DE PADUA,COLEGIO DE CIENCIAS COMERCIALES SAN ANTONIO DE PADUA,PETEN,SAYAXCHE,386,387
17-10-3566-46,17-10-3696-46,100.0,100.0,False,INSTITUTO PRIVADO MIXTO PROF. JOSE OTILIO FLORES CARBAJAL,INSTITUTO PRIVADO MIXTO PROF. JOSE OTILIO FLORES CARBAJAL,PETEN,SAYAXCHE,403,404
09-06-0039-46,09-06-0040-46,100.0,100.0,False,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,QUETZALTENANGO,CABRICAN,828,829
09-20-0063-46,09-20-0661-46,100.0,100.0,True,"INSTITUTO PARTICULAR MIXTO ""PEDRO MOLINA""","INSTITUTO PARTICULAR MIXTO ""PEDRO MOLINA""",QUETZALTENANGO,COATEPEQUE,944,997
09-22-0025-46,09-22-0026-46,100.0,100.0,True,INSTITUTO PRIVADO MIXTO PROFESIONAL EDUCACIÓN DEL FUTURO IPEF,INSTITUTO PRIVADO MIXTO PROFESIONAL EDUCACIÓN DEL FUTURO IPEF,QUETZALTENANGO,FLORES COSTA CUCA,1039,1040
09-23-0032-46,09-23-0033-46,100.0,100.0,True,INSTITUTO DE ESTUDIOS ALTERNATIVOS DE GUATEMALA,INSTITUTO DE ESTUDIOS ALTERNATIVOS DE GUATEMALA,QUETZALTENANGO,LA ESPERANZA,1051,1052
09-23-0040-46,09-23-0041-46,100.0,100.0,True,COLEGIO IDEA,COLEGIO IDEA,QUETZALTENANGO,LA ESPERANZA,1055,1056
09-01-0132-46,09-01-3534-46,100.0,100.0,True,INSTITUTO NORMAL PARA SEÑORITAS DE OCCIDENTE,INSTITUTO NORMAL PARA SEÑORITAS DE OCCIDENTE,QUETZALTENANGO,QUETZALTENANGO,521,721
09-01-0232-46,09-01-0234-46,100.0,100.0,True,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS,QUETZALTENANGO,QUETZALTENANGO,553,554
09-01-0288-46,09-01-0297-46,100.0,100.0,True,COLEGIO JOHN HARVARD,COLEGIO JOHN HARVARD,QUETZALTENANGO,QUETZALTENANGO,565,568
09-01-0336-46,09-01-0337-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""JUAN JACOBO ROUSSEAU""","COLEGIO PRIVADO MIXTO ""JUAN JACOBO ROUSSEAU""",QUETZALTENANGO,QUETZALTENANGO,582,583
09-01-0384-46,09-01-1083-46,100.0,100.0,True,COLEGIO MIXTO CENTRO DE ESTUDIOS INTEGRADOS,COLEGIO MIXTO CENTRO DE ESTUDIOS INTEGRADOS,QUETZALTENANGO,QUETZALTENANGO,600,690
09-01-0476-46,09-01-0540-46,100.0,100.0,True,"CENTRO EDUCATIVO ""ISEA QUETZALTENANGO""","CENTRO EDUCATIVO ""ISEA QUETZALTENANGO""",QUETZALTENANGO,QUETZALTENANGO,632,665
09-01-3556-46,09-01-3816-46,100.0,100.0,True,"COLEGIO PRE-UNIVERSITARIO ""FRIEDRICH VON HAYEK""","COLEGIO PRE-UNIVERSITARIO ""FRIEDRICH VON HAYEK""",QUETZALTENANGO,QUETZALTENANGO,725,757
09-01-3558-46,09-01-4103-46,100.0,100.0,True,"COLEGIO PRE-UNIVERSITARIO ""FRIEDRICH VON HAYEK""","COLEGIO PRE-UNIVERSITARIO ""FRIEDRICH VON HAYEK""",QUETZALTENANGO,QUETZALTENANGO,726,787
09-01-3953-46,09-01-3992-46,100.0,100.0,True,ESCUELA PRIVADA MIXTA DE FORMACION ARTISTICA QUETZALTENANGO,ESCUELA PRIVADA MIXTA DE FORMACION ARTISTICA QUETZALTENANGO,QUETZALTENANGO,QUETZALTENANGO,776,781
09-04-0033-46,09-04-0034-46,100.0,100.0,True,INSTITUTO DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA MAXIMO RAUL GIRON MAZARIEGOS,INSTITUTO DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA MAXIMO RAUL GIRON MAZARIEGOS,QUETZALTENANGO,SAN CARLOS SIJA,813,814
14-19-0084-46,14-19-0085-46,100.0,100.0,True,"""COLEGIO MIXTO CIENCIA Y DESARROLLO CHICAMÁN""","""COLEGIO MIXTO CIENCIA Y DESARROLLO CHICAMÁN""",QUICHE,CHICAMAN,1294,1295
14-10-0078-46,14-10-0079-46,100.0,100.0,False,"COLEGIO MIXTO BILINGÜE INTERCULTURAL ""HERMANO OSCAR AZMITIA""","COLEGIO MIXTO BILINGÜE INTERCULTURAL ""HERMANO OSCAR AZMITIA""",QUICHE,CUNEN,1188,1189
14-20-0124-46,14-20-5707-46,100.0,100.0,True,INSTITUTO NORMAL MIXTO CIENCIA Y ARTE,INSTITUTO NORMAL MIXTO CIENCIA Y ARTE,QUICHE,IXCAN,1310,1361
14-20-0126-46,14-20-0152-46,100.0,100.0,False,INSTITUTO NORMAL MIXTO CIENCIA Y ARTE,INSTITUTO NORMAL MIXTO CIENCIA Y ARTE,QUICHE,IXCAN,1311,1323
14-20-0126-46,14-20-5966-46,100.0,100.0,False,INSTITUTO NORMAL MIXTO CIENCIA Y ARTE,INSTITUTO NORMAL MIXTO CIENCIA Y ARTE,QUICHE,IXCAN,1311,1370
14-20-0152-46,14-20-5966-46,100.0,100.0,False,INSTITUTO NORMAL MIXTO CIENCIA Y ARTE,INSTITUTO NORMAL MIXTO CIENCIA Y ARTE,QUICHE,IXCAN,1323,1370
14-20-0162-46,14-20-5530-46,100.0,100.0,True,INSTITUTO DIVERSIFICADO MAYA PADRE GUILLERMO WOODS,INSTITUTO DIVERSIFICADO MAYA PADRE GUILLERMO WOODS,QUICHE,IXCAN,1330,1360
14-20-0174-46,14-20-0175-46,100.0,100.0,False,LICEO MIXTO DEL NORTE FIN DE SEMANA,LICEO MIXTO DEL NORTE FIN DE SEMANA,QUICHE,IXCAN,1335,1336
14-01-0181-46,14-01-1137-46,100.0,100.0,True,INSTITUTO PRIVADO MIXTO CIENCIA Y CULTURA,INSTITUTO PRIVADO MIXTO CIENCIA Y CULTURA,QUICHE,SANTA CRUZ DEL QUICHE,1083,1118
14-01-0195-46,14-01-0199-46,100.0,100.0,True,COLEGIO NUESTRA SEÑORA DEL ROSARIO,COLEGIO NUESTRA SEÑORA DEL ROSARIO,QUICHE,SANTA CRUZ DEL QUICHE,1088,1089
14-04-0048-46,14-04-0050-46,100.0,100.0,False,LICEO INTERCULTURAL ZACUALPA,LICEO INTERCULTURAL ZACUALPA,QUICHE,ZACUALPA,1141,1142
11-08-0061-46,11-08-0063-46,100.0,100.0,True,COLEGIO GENESIS,COLEGIO GENESIS,RETALHULEU,NUEVO SAN CARLOS,1718,1719
11-08-0070-46,11-08-0071-46,100.0,100.0,False,COLEGIO CRISTIANO MARANATHA,COLEGIO CRISTIANO MARANATHA,RETALHULEU,NUEVO SAN CARLOS,1722,1723
11-08-0084-46,11-08-0085-46,100.0,100.0,False,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,RETALHULEU,NUEVO SAN CARLOS,1729,1730
11-01-0136-46,11-01-0137-46,100.0,100.0,False,INSTITUTO PRIVADO MIXTO POETA EDUARDO ORELLANA MATTA,INSTITUTO PRIVADO MIXTO POETA EDUARDO ORELLANA MATTA,RETALHULEU,RETALHULEU,1405,1406
11-01-0142-46,11-01-0143-46,100.0,100.0,False,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,RETALHULEU,RETALHULEU,1408,1409
11-01-0165-46,11-01-0167-46,100.0,100.0,True,COLEGIO PARTICULAR MIXTO PAULO COELHO,COLEGIO PARTICULAR MIXTO PAULO COELHO,RETALHULEU,RETALHULEU,1414,1415
11-01-0170-46,11-01-0171-46,100.0,100.0,True,COLEGIO MIXTO CENTROAMERICANO,COLEGIO MIXTO CENTROAMERICANO,RETALHULEU,RETALHULEU,1417,1418
11-01-0197-46,11-01-0199-46,100.0,100.0,True,COLEGIO MIXTO LICEO RETALTECO,COLEGIO MIXTO LICEO RETALTECO,RETALHULEU,RETALHULEU,1421,1422
11-01-0200-46,11-01-0201-46,100.0,100.0,True,COLEGIO MIXTO RETALHULEU,COLEGIO MIXTO RETALHULEU,RETALHULEU,RETALHULEU,1423,1424
11-01-0206-46,11-01-0208-46,100.0,100.0,True,COLEGIO MIXTO LUIS CARDONA Y ARAGON,COLEGIO MIXTO LUIS CARDONA Y ARAGON,RETALHULEU,RETALHULEU,1425,1426
11-01-0236-46,11-01-0237-46,100.0,100.0,True,LICEO TECNOLÓGICO JAVIER MARTINEZ,LICEO TECNOLÓGICO JAVIER MARTINEZ,RETALHULEU,RETALHULEU,1437,1438
11-01-0240-46,11-01-0241-46,100.0,100.0,False,COLEGIO TECNOLÓGICO CABALLO BLANCO,COLEGIO TECNOLÓGICO CABALLO BLANCO,RETALHULEU,RETALHULEU,1439,1440
11-01-0255-46,11-01-0397-46,100.0,100.0,False,CENTRO EDUCATIVO NUEVA CANDELARIA,CENTRO EDUCATIVO NUEVA CANDELARIA,RETALHULEU,RETALHULEU,1446,1492
11-01-0271-46,11-01-0272-46,100.0,100.0,True,"COLEGIO TECNOLÓGICO ""BLAISE PASCAL""","COLEGIO TECNOLÓGICO ""BLAISE PASCAL""",RETALHULEU,RETALHULEU,1451,1452
11-01-0291-46,11-01-0296-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""NUEVA GENERACIÓN""","COLEGIO PRIVADO MIXTO ""NUEVA GENERACIÓN""",RETALHULEU,RETALHULEU,1455,1459
11-01-0306-46,11-01-0308-46,100.0,100.0,True,COLEGIO MIXTO EN COMPUTACIÓN LA MERCED,COLEGIO MIXTO EN COMPUTACIÓN LA MERCED,RETALHULEU,RETALHULEU,1463,1464
11-01-0310-46,11-01-0312-46,100.0,100.0,True,"COLEGIO MIXTO CRISTIANO ""GETSEMANÍ""","COLEGIO MIXTO CRISTIANO ""GETSEMANÍ""",RETALHULEU,RETALHULEU,1465,1466
11-01-0318-46,11-01-0320-46,100.0,100.0,False,"COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACIÓN Y CAPACITACIÓN ""MIGUEL ÁNGEL ASTURIAS""","COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACIÓN Y CAPACITACIÓN ""MIGUEL ÁNGEL ASTURIAS""",RETALHULEU,RETALHULEU,1468,1469
11-01-0321-46,11-01-0327-46,100.0,100.0,False,"COLEGIO EVANGÉLICO MIXTO "" PALABRA VIVA ""","COLEGIO EVANGÉLICO MIXTO "" PALABRA VIVA """,RETALHULEU,RETALHULEU,1470,1471
11-01-0344-46,11-01-0348-46,100.0,100.0,True,LICEO ALFRED NOBEL,LICEO ALFRED NOBEL,RETALHULEU,RETALHULEU,1474,1476
11-01-0383-46,11-01-0384-46,100.0,100.0,True,"COLEGIO MIXTO ""LUIS FERNANDO ESQUIVEL SANCHEZ""","COLEGIO MIXTO ""LUIS FERNANDO ESQUIVEL SANCHEZ""",RETALHULEU,RETALHULEU,1486,1487
11-01-0387-46,11-01-0388-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""CABALLO BLANCO""","COLEGIO PRIVADO MIXTO ""CABALLO BLANCO""",RETALHULEU,RETALHULEU,1488,1489
11-01-0404-46,11-01-0406-46,100.0,100.0,True,"COLEGIO PRIVADO URBANO MIXTO ""BILINGUE PARAÍSO""","COLEGIO PRIVADO URBANO MIXTO ""BILINGUE PARAÍSO""",RETALHULEU,RETALHULEU,1495,1496
11-01-0409-46,11-01-0411-46,100.0,100.0,True,COLEGIO CRISTIANO BELÉN,COLEGIO CRISTIANO BELÉN,RETALHULEU,RETALHULEU,1497,1498
11-01-0427-46,11-01-0429-46,100.0,100.0,True,LICEO CRISTIANO MIXTO LA FE,LICEO CRISTIANO MIXTO LA FE,RETALHULEU,RETALHULEU,1505,1506
11-01-0452-46,11-01-0453-46,100.0,100.0,True,COLEGIO MIXTO MARIO MONTEFORTE TOLEDO,COLEGIO MIXTO MARIO MONTEFORTE TOLEDO,RETALHULEU,RETALHULEU,1515,1516
11-01-0523-46,11-01-0534-46,100.0,100.0,False,"COLEGIO TECNOLÓGICO CENTROAMERICANO ""COLTEC""","COLEGIO TECNOLÓGICO CENTROAMERICANO ""COLTEC""",RETALHULEU,RETALHULEU,1549,1554
11-06-0055-46,11-06-0056-46,100.0,100.0,True,"COLEGIO BILINGÜE ""MUNDO MÁGICO""","COLEGIO BILINGÜE ""MUNDO MÁGICO""",RETALHULEU,SAN ANDRES VILLA SECA,1669,1670
11-06-0064-46,11-06-0065-46,100.0,100.0,True,LICEO TÉCNICO MAQUINENSE LITECMA,LICEO TÉCNICO MAQUINENSE LITECMA,RETALHULEU,SAN ANDRES VILLA SECA,1673,1674
11-06-0099-46,11-06-0101-46,100.0,100.0,True,COLEGIO SAN ANTONIO TULULÁ,COLEGIO SAN ANTONIO TULULÁ,RETALHULEU,SAN ANDRES VILLA SECA,1687,1688
11-05-0025-46,11-05-0027-46,100.0,100.0,True,COLEGIO EVANGELICO MIXTO NUEVA ESPERANZA,COLEGIO EVANGELICO MIXTO NUEVA ESPERANZA,RETALHULEU,SAN FELIPE,1642,1643
11-04-0025-46,11-04-0027-46,100.0,100.0,True,COLEGIO MIXTO TECNOLÓGICO ZAPOTITLÁN,COLEGIO MIXTO TECNOLÓGICO ZAPOTITLÁN,RETALHULEU,SAN MARTIN ZAPOTITLAN,1630,1631
11-02-0011-46,11-02-0013-46,100.0,100.0,False,CENTRO EDUCATIVO DE ESTUDIOS INTEGRADOS SAN SEBASTIAN CEEDISS,CENTRO EDUCATIVO DE ESTUDIOS INTEGRADOS SAN SEBASTIAN CEEDISS,RETALHULEU,SAN SEBASTIAN,1593,1594
11-02-0043-46,11-02-0044-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""SAN SEBASTIÁN""","COLEGIO PRIVADO MIXTO ""SAN SEBASTIÁN""",RETALHULEU,SAN SEBASTIAN,1601,1602
03-01-0129-46,03-01-0167-46,100.0,100.0,True,INSTITUTO TECNOLOGICO EMPRESARIAL,INSTITUTO TECNOLOGICO EMPRESARIAL,SACATEPEQUEZ,ANTIGUA GUATEMALA,1778,1796
03-01-0151-46,03-01-0152-46,100.0,100.0,True,COLEGIO MIXTO PRE-UNIVERSITARIO GALILEO GALILEI,COLEGIO MIXTO PRE-UNIVERSITARIO GALILEO GALILEI,SACATEPEQUEZ,ANTIGUA GUATEMALA,1787,1788
03-01-0189-46,03-01-0284-46,100.0,100.0,True,COLEGIO INNOVACION EDUCATIVA,COLEGIO INNOVACION EDUCATIVA,SACATEPEQUEZ,ANTIGUA GUATEMALA,1805,1835
03-01-0272-46,03-01-1402-46,100.0,100.0,True,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,SACATEPEQUEZ,ANTIGUA GUATEMALA,1831,1894
03-01-0296-46,03-01-0299-46,100.0,100.0,False,COLEGIO INFANTIL MIS PRIMEROS TRAZOS,COLEGIO INFANTIL MIS PRIMEROS TRAZOS,SACATEPEQUEZ,ANTIGUA GUATEMALA,1838,1839
03-01-1158-46,03-01-1293-46,100.0,100.0,True,INSTITUTO DE COMPUTACION INFORMATICA,INSTITUTO DE COMPUTACION INFORMATICA,SACATEPEQUEZ,ANTIGUA GUATEMALA,1868,1877
03-01-1228-46,03-01-1229-46,100.0,100.0,True,LICEO MIXTO NUESTRA SEÑORA DE FATIMA,LICEO MIXTO NUESTRA SEÑORA DE FATIMA,SACATEPEQUEZ,ANTIGUA GUATEMALA,1872,1873
03-01-1335-46,03-01-1336-46,100.0,100.0,True,LICEO DE COMPUTACION CIENCIA Y TECNOLOGIA,LICEO DE COMPUTACION CIENCIA Y TECNOLOGIA,SACATEPEQUEZ,ANTIGUA GUATEMALA,1883,1884
03-01-1343-46,03-01-1344-46,100.0,100.0,True,COLEGIO SISTEMA EDUCATIVO LATINOAMERICANO SEL,COLEGIO SISTEMA EDUCATIVO LATINOAMERICANO SEL,SACATEPEQUEZ,ANTIGUA GUATEMALA,1887,1888
03-12-0034-46,03-12-0035-46,100.0,100.0,True,CENTRO DE ESTUDIOS CIUDAD VIEJA,CENTRO DE ESTUDIOS CIUDAD VIEJA,SACATEPEQUEZ,CIUDAD VIEJA,2111,2112
03-12-0037-46,03-12-0038-46,100.0,100.0,True,LICEO TERESA DE AVILA,LICEO TERESA DE AVILA,SACATEPEQUEZ,CIUDAD VIEJA,2113,2114
03-12-0067-46,03-12-0081-46,100.0,100.0,True,COLEGIO PRIVADO MIXTO NUESTRA SEÑORA DE LOURDES,COLEGIO PRIVADO MIXTO NUESTRA SEÑORA DE LOURDES,SACATEPEQUEZ,CIUDAD VIEJA,2124,2129
03-12-0096-46,03-12-0098-46,100.0,100.0,True,LICEO TERESA DE AVILA,LICEO TERESA DE AVILA,SACATEPEQUEZ,CIUDAD VIEJA,2132,2133
03-12-0118-46,03-12-0119-46,100.0,100.0,False,"INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA, HERMÓGENES LÓPEZ COARCHITA","INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA, HERMÓGENES LÓPEZ COARCHITA",SACATEPEQUEZ,CIUDAD VIEJA,2142,2143
03-02-0269-46,03-02-1399-46,100.0,100.0,True,COLEGIO MIXTO LICEO LATINO,COLEGIO MIXTO LICEO LATINO,SACATEPEQUEZ,JOCOTENANGO,1918,1932
03-02-1232-46,03-02-1233-46,100.0,100.0,True,COLEGIO MIXTO LICEO CLASICO KENNEDY ANEXO A COLEGIO MIXTO LICEO LATINO,COLEGIO MIXTO LICEO CLASICO KENNEDY ANEXO A COLEGIO MIXTO LICEO LATINO,SACATEPEQUEZ,JOCOTENANGO,1929,1930
03-03-0022-46,03-03-0023-46,100.0,100.0,True,COLEGIO LA ESPERANZA,COLEGIO LA ESPERANZA,SACATEPEQUEZ,PASTORES,1938,1939
03-15-0011-46,03-15-0013-46,100.0,100.0,False,CENTRO EDUCATIVO MIXTO GUATEMALTECO CESAR BRAÑAS,CENTRO EDUCATIVO MIXTO GUATEMALTECO CESAR BRAÑAS,SACATEPEQUEZ,SAN ANTONIO AGUAS CALIENTES,2172,2173
03-07-0024-46,03-07-0025-46,100.0,100.0,True,LICEO MIXTO BILINGUE REAL MINERVA,LICEO MIXTO BILINGUE REAL MINERVA,SACATEPEQUEZ,SAN BARTOLOME MILPAS ALTAS,2018,2019
03-08-0032-46,03-08-0033-46,100.0,100.0,False,LICEO JOHN DEWEY,LICEO JOHN DEWEY,SACATEPEQUEZ,SAN LUCAS SACATEPEQUEZ,2032,2033
03-13-0006-46,03-13-1393-46,100.0,100.0,True,COLEGIO MIXTO SANTO TOMAS,COLEGIO MIXTO SANTO TOMAS,SACATEPEQUEZ,SAN MIGUEL DUENAS,2152,2162
03-13-0012-46,03-13-0016-46,100.0,100.0,True,COLEGIO MIXTO SAN MIGUEL ARCANGEL,COLEGIO MIXTO SAN MIGUEL ARCANGEL,SACATEPEQUEZ,SAN MIGUEL DUENAS,2153,2155
03-13-0012-46,03-13-0019-46,100.0,100.0,False,COLEGIO MIXTO SAN MIGUEL ARCANGEL,COLEGIO MIXTO SAN MIGUEL ARCANGEL,SACATEPEQUEZ,SAN MIGUEL DUENAS,2153,2156
03-13-0016-46,03-13-0019-46,100.0,100.0,False,COLEGIO MIXTO SAN MIGUEL ARCANGEL,COLEGIO MIXTO SAN MIGUEL ARCANGEL,SACATEPEQUEZ,SAN MIGUEL DUENAS,2155,2156
03-16-1315-46,03-16-1442-46,100.0,100.0,False,INSTITUTO MUNICIPAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ,INSTITUTO MUNICIPAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ,SACATEPEQUEZ,SANTA CATARINA BARAHONA,2181,2182
03-09-0003-46,03-09-0008-46,100.0,100.0,False,INSTITUTO MIXTO MUNICIPAL DE EDUCACION DIVERSIFICADO,INSTITUTO MIXTO MUNICIPAL DE EDUCACION DIVERSIFICADO,SACATEPEQUEZ,SANTA LUCIA MILPAS ALTAS,2065,2066
03-09-0021-46,03-09-0022-46,100.0,100.0,False,LICEO SANTA LUCIA,LICEO SANTA LUCIA,SACATEPEQUEZ,SANTA LUCIA MILPAS ALTAS,2072,2073
03-09-0056-46,03-09-0057-46,100.0,100.0,True,CENTRO EDUCATIVO BILINGUE FASE,CENTRO EDUCATIVO BILINGUE FASE,SACATEPEQUEZ,SANTA LUCIA MILPAS ALTAS,2083,2084
03-06-0015-46,03-06-0016-46,100.0,100.0,True,CENTRO EDUCATIVO LICEO EL CARMEN,CENTRO EDUCATIVO LICEO EL CARMEN,SACATEPEQUEZ,SANTIAGO SACATEPEQUEZ,1996,1997
03-06-1374-46,03-06-1375-46,100.0,100.0,False,INSTITUTO MIXTO LOMA LINDA,INSTITUTO MIXTO LOMA LINDA,SACATEPEQUEZ,SANTIAGO SACATEPEQUEZ,2010,2011
03-05-0023-46,03-05-0024-46,100.0,100.0,False,COLEGIO LICEO CLASICO MIXTO EN COMPUTACION GUATEMALTECO,COLEGIO LICEO CLASICO MIXTO EN COMPUTACION GUATEMALTECO,SACATEPEQUEZ,SANTO DOMINGO XENACOJ,1986,1987
03-04-0005-46,03-04-0026-46,100.0,100.0,True,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,SACATEPEQUEZ,SUMPANGO,1949,1952
03-04-0005-46,03-04-0060-46,100.0,100.0,True,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,SACATEPEQUEZ,SUMPANGO,1949,1961
03-04-0026-46,03-04-0060-46,100.0,100.0,True,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,SACATEPEQUEZ,SUMPANGO,1952,1961
12-17-0019-46,12-17-1150-46,100.0,100.0,False,"INSTITUTO PARTICULAR MIXTO ""TECUN UMAN""","INSTITUTO PARTICULAR MIXTO ""TECUN UMAN""",SAN MARCOS,AYUTLA,2711,2730
12-04-0110-46,12-04-0111-46,100.0,100.0,True,"""COLEGIO DE ESTUDIOS SUPERIORES COMITANCILLO"" -CESC-","""COLEGIO DE ESTUDIOS SUPERIORES COMITANCILLO"" -CESC-",SAN MARCOS,COMITANCILLO,2353,2354
12-04-0118-46,12-04-0121-46,100.0,100.0,False,LICEO SAN JOSÉ,LICEO SAN JOSÉ,SAN MARCOS,COMITANCILLO,2358,2361
12-04-0119-46,12-04-0212-46,100.0,100.0,True,LICEO SAN JOSÉ,LICEO SAN JOSÉ,SAN MARCOS,COMITANCILLO,2359,2368
12-13-0056-46,12-13-0071-46,100.0,100.0,False,COLEGIO PARTICULAR MIXTO LA FAMILIA,COLEGIO PARTICULAR MIXTO LA FAMILIA,SAN MARCOS,EL TUMBADOR,2553,2556
12-13-0056-46,12-13-0090-46,100.0,100.0,False,COLEGIO PARTICULAR MIXTO LA FAMILIA,COLEGIO PARTICULAR MIXTO LA FAMILIA,SAN MARCOS,EL TUMBADOR,2553,2565
